n = 10
Cycles = 200
Car 0 : Position 1524, Velocity 7
Car 1 : Position 1501, Velocity 8
Car 2 : Position 1449, Velocity 8
Car 3 : Position 1439, Velocity 8
Car 4 : Position 1422, Velocity 8
Car 5 : Position 1401, Velocity 8
Car 6 : Position 1385, Velocity 8
Car 7 : Position 1371, Velocity 8
Car 8 : Position 1357, Velocity 8
Car 9 : Position 1346, Velocity 8
