n = 100000
Cycles = 2000
Car 167 : Position 113153, Velocity 8
Car 168 : Position 113142, Velocity 8
Car 169 : Position 113120, Velocity 8
Car 170 : Position 113109, Velocity 8
Car 171 : Position 113096, Velocity 8
Car 172 : Position 113085, Velocity 8
Car 173 : Position 113057, Velocity 8
Car 174 : Position 113047, Velocity 8
Car 175 : Position 113038, Velocity 8
Car 176 : Position 113017, Velocity 8
Car 177 : Position 113001, Velocity 8
Car 178 : Position 112988, Velocity 8
Car 179 : Position 112973, Velocity 8
Car 180 : Position 112962, Velocity 8
Car 181 : Position 112951, Velocity 7
Car 182 : Position 112942, Velocity 8
Car 183 : Position 112922, Velocity 8
Car 184 : Position 112913, Velocity 8
Car 185 : Position 112900, Velocity 8
Car 186 : Position 112887, Velocity 8
Car 187 : Position 112874, Velocity 7
Car 188 : Position 112865, Velocity 6
Car 189 : Position 112854, Velocity 8
Car 190 : Position 112822, Velocity 8
Car 191 : Position 112803, Velocity 8
Car 192 : Position 112788, Velocity 7
Car 193 : Position 112780, Velocity 8
Car 194 : Position 112771, Velocity 7
Car 195 : Position 112762, Velocity 8
Car 196 : Position 112751, Velocity 8
Car 197 : Position 112727, Velocity 8
Car 198 : Position 112717, Velocity 8
Car 199 : Position 112706, Velocity 7
Car 200 : Position 112693, Velocity 8
Car 201 : Position 112683, Velocity 8
Car 202 : Position 112672, Velocity 8
Car 203 : Position 112661, Velocity 8
Car 204 : Position 112647, Velocity 7
Car 205 : Position 112634, Velocity 8
Car 206 : Position 112623, Velocity 8
Car 207 : Position 112612, Velocity 8
Car 208 : Position 112597, Velocity 8
Car 209 : Position 112585, Velocity 8
Car 210 : Position 112567, Velocity 8
Car 211 : Position 112557, Velocity 8
Car 212 : Position 112546, Velocity 7
Car 213 : Position 112535, Velocity 8
Car 214 : Position 112518, Velocity 8
Car 215 : Position 112507, Velocity 8
Car 216 : Position 112492, Velocity 8
Car 217 : Position 112478, Velocity 8
Car 218 : Position 112469, Velocity 8
Car 219 : Position 112458, Velocity 8
Car 220 : Position 112446, Velocity 8
Car 221 : Position 112420, Velocity 7
Car 222 : Position 112404, Velocity 8
Car 223 : Position 112391, Velocity 8
Car 224 : Position 112381, Velocity 8
Car 225 : Position 112368, Velocity 8
Car 226 : Position 112344, Velocity 8
Car 227 : Position 112335, Velocity 8
Car 228 : Position 112315, Velocity 8
Car 229 : Position 112306, Velocity 8
Car 230 : Position 112280, Velocity 8
Car 231 : Position 112268, Velocity 7
Car 232 : Position 112252, Velocity 8
Car 233 : Position 112238, Velocity 8
Car 234 : Position 112221, Velocity 8
Car 235 : Position 112209, Velocity 8
Car 236 : Position 112195, Velocity 6
Car 237 : Position 112184, Velocity 7
Car 238 : Position 112174, Velocity 8
Car 239 : Position 112158, Velocity 8
Car 240 : Position 112149, Velocity 8
Car 241 : Position 112137, Velocity 8
Car 242 : Position 112127, Velocity 7
Car 243 : Position 112110, Velocity 8
Car 244 : Position 112088, Velocity 7
Car 245 : Position 112073, Velocity 8
Car 246 : Position 112054, Velocity 7
Car 247 : Position 112046, Velocity 7
Car 248 : Position 112036, Velocity 8
Car 249 : Position 112027, Velocity 7
Car 250 : Position 112014, Velocity 8
Car 251 : Position 112003, Velocity 8
Car 252 : Position 111993, Velocity 8
Car 253 : Position 111983, Velocity 8
Car 254 : Position 111971, Velocity 8
Car 255 : Position 111960, Velocity 8
Car 256 : Position 111950, Velocity 8
Car 257 : Position 111939, Velocity 8
Car 258 : Position 111929, Velocity 8
Car 259 : Position 111906, Velocity 8
Car 260 : Position 111894, Velocity 8
Car 261 : Position 111878, Velocity 7
Car 262 : Position 111855, Velocity 8
Car 263 : Position 111833, Velocity 8
Car 264 : Position 111822, Velocity 8
Car 265 : Position 111813, Velocity 8
Car 266 : Position 111799, Velocity 8
Car 267 : Position 111787, Velocity 8
Car 268 : Position 111755, Velocity 8
Car 269 : Position 111740, Velocity 8
Car 270 : Position 111728, Velocity 8
Car 271 : Position 111716, Velocity 7
Car 272 : Position 111704, Velocity 8
Car 273 : Position 111688, Velocity 7
Car 274 : Position 111679, Velocity 7
Car 275 : Position 111669, Velocity 7
Car 276 : Position 111634, Velocity 8
Car 277 : Position 111610, Velocity 8
Car 278 : Position 111595, Velocity 8
Car 279 : Position 111579, Velocity 8
Car 280 : Position 111560, Velocity 8
Car 281 : Position 111545, Velocity 8
Car 282 : Position 111535, Velocity 8
Car 283 : Position 111518, Velocity 8
Car 284 : Position 111504, Velocity 8
Car 285 : Position 111483, Velocity 7
Car 286 : Position 111470, Velocity 8
Car 287 : Position 111460, Velocity 8
Car 288 : Position 111450, Velocity 8
Car 289 : Position 111430, Velocity 8
Car 290 : Position 111401, Velocity 8
Car 291 : Position 111390, Velocity 7
Car 292 : Position 111370, Velocity 8
Car 293 : Position 111357, Velocity 8
Car 294 : Position 111348, Velocity 8
Car 295 : Position 111337, Velocity 8
Car 296 : Position 111322, Velocity 8
Car 297 : Position 111299, Velocity 7
Car 298 : Position 111288, Velocity 8
Car 299 : Position 111273, Velocity 8
Car 300 : Position 111255, Velocity 8
Car 301 : Position 111242, Velocity 7
Car 302 : Position 111230, Velocity 8
Car 303 : Position 111216, Velocity 7
Car 304 : Position 111204, Velocity 8
Car 305 : Position 111191, Velocity 8
Car 306 : Position 111176, Velocity 8
Car 307 : Position 111167, Velocity 7
Car 308 : Position 111159, Velocity 8
Car 309 : Position 111141, Velocity 8
Car 310 : Position 111132, Velocity 8
Car 311 : Position 111123, Velocity 8
Car 312 : Position 111112, Velocity 8
Car 313 : Position 111095, Velocity 8
Car 314 : Position 111082, Velocity 8
Car 315 : Position 111069, Velocity 8
Car 316 : Position 111060, Velocity 8
Car 317 : Position 111041, Velocity 8
Car 318 : Position 111032, Velocity 7
Car 319 : Position 111022, Velocity 8
Car 320 : Position 111011, Velocity 8
Car 321 : Position 110999, Velocity 8
Car 322 : Position 110989, Velocity 8
Car 323 : Position 110977, Velocity 8
Car 324 : Position 110968, Velocity 8
Car 325 : Position 110954, Velocity 7
Car 326 : Position 110941, Velocity 7
Car 327 : Position 110930, Velocity 8
Car 328 : Position 110918, Velocity 7
Car 329 : Position 110903, Velocity 8
Car 330 : Position 110894, Velocity 8
Car 331 : Position 110883, Velocity 8
Car 332 : Position 110864, Velocity 8
Car 333 : Position 110851, Velocity 7
Car 334 : Position 110843, Velocity 8
Car 335 : Position 110832, Velocity 8
Car 336 : Position 110815, Velocity 8
Car 337 : Position 110799, Velocity 8
Car 338 : Position 110786, Velocity 8
Car 339 : Position 110770, Velocity 8
Car 340 : Position 110752, Velocity 7
Car 341 : Position 110740, Velocity 8
Car 342 : Position 110720, Velocity 8
Car 343 : Position 110711, Velocity 8
Car 344 : Position 110700, Velocity 7
Car 345 : Position 110688, Velocity 7
Car 346 : Position 110670, Velocity 8
Car 347 : Position 110658, Velocity 8
Car 348 : Position 110646, Velocity 8
Car 349 : Position 110632, Velocity 8
Car 350 : Position 110615, Velocity 8
Car 351 : Position 110599, Velocity 8
Car 352 : Position 110586, Velocity 8
Car 353 : Position 110567, Velocity 8
Car 354 : Position 110550, Velocity 8
Car 355 : Position 110539, Velocity 7
Car 356 : Position 110526, Velocity 8
Car 357 : Position 110514, Velocity 8
Car 358 : Position 110501, Velocity 8
Car 359 : Position 110490, Velocity 8
Car 360 : Position 110474, Velocity 7
Car 361 : Position 110463, Velocity 8
Car 362 : Position 110454, Velocity 8
Car 363 : Position 110440, Velocity 8
Car 364 : Position 110428, Velocity 8
Car 365 : Position 110412, Velocity 7
Car 366 : Position 110402, Velocity 8
Car 367 : Position 110393, Velocity 7
Car 368 : Position 110384, Velocity 8
Car 369 : Position 110373, Velocity 8
Car 370 : Position 110357, Velocity 8
Car 371 : Position 110348, Velocity 8
Car 372 : Position 110336, Velocity 8
Car 373 : Position 110321, Velocity 8
Car 374 : Position 110311, Velocity 8
Car 375 : Position 110296, Velocity 7
Car 376 : Position 110285, Velocity 8
Car 377 : Position 110274, Velocity 8
Car 378 : Position 110265, Velocity 8
Car 379 : Position 110246, Velocity 7
Car 380 : Position 110236, Velocity 8
Car 381 : Position 110224, Velocity 8
Car 382 : Position 110213, Velocity 8
Car 383 : Position 110204, Velocity 8
Car 384 : Position 110194, Velocity 8
Car 385 : Position 110180, Velocity 7
Car 386 : Position 110166, Velocity 8
Car 387 : Position 110153, Velocity 8
Car 388 : Position 110136, Velocity 8
Car 389 : Position 110123, Velocity 7
Car 390 : Position 110113, Velocity 7
Car 391 : Position 110102, Velocity 8
Car 392 : Position 110090, Velocity 7
Car 393 : Position 110081, Velocity 8
Car 394 : Position 110072, Velocity 8
Car 395 : Position 110060, Velocity 8
Car 396 : Position 110045, Velocity 8
Car 397 : Position 110036, Velocity 8
Car 398 : Position 110027, Velocity 7
Car 399 : Position 110013, Velocity 7
Car 400 : Position 110005, Velocity 8
Car 401 : Position 109987, Velocity 8
Car 402 : Position 109977, Velocity 8
Car 403 : Position 109967, Velocity 8
Car 404 : Position 109952, Velocity 8
Car 405 : Position 109937, Velocity 8
Car 406 : Position 109928, Velocity 8
Car 407 : Position 109917, Velocity 8
Car 408 : Position 109902, Velocity 8
Car 409 : Position 109892, Velocity 7
Car 410 : Position 109876, Velocity 8
Car 411 : Position 109859, Velocity 8
Car 412 : Position 109848, Velocity 8
Car 413 : Position 109829, Velocity 8
Car 414 : Position 109817, Velocity 8
Car 415 : Position 109803, Velocity 8
Car 416 : Position 109793, Velocity 8
Car 417 : Position 109782, Velocity 8
Car 418 : Position 109765, Velocity 8
Car 419 : Position 109756, Velocity 8
Car 420 : Position 109737, Velocity 7
Car 421 : Position 109721, Velocity 8
Car 422 : Position 109711, Velocity 8
Car 423 : Position 109702, Velocity 8
Car 424 : Position 109689, Velocity 8
Car 425 : Position 109671, Velocity 8
Car 426 : Position 109661, Velocity 6
Car 427 : Position 109651, Velocity 8
Car 428 : Position 109634, Velocity 7
Car 429 : Position 109622, Velocity 8
Car 430 : Position 109611, Velocity 8
Car 431 : Position 109593, Velocity 7
Car 432 : Position 109579, Velocity 8
Car 433 : Position 109565, Velocity 8
Car 434 : Position 109553, Velocity 8
Car 435 : Position 109543, Velocity 8
Car 436 : Position 109533, Velocity 8
Car 437 : Position 109522, Velocity 8
Car 438 : Position 109512, Velocity 7
Car 439 : Position 109500, Velocity 7
Car 440 : Position 109492, Velocity 8
Car 441 : Position 109476, Velocity 8
Car 442 : Position 109461, Velocity 8
Car 443 : Position 109448, Velocity 8
Car 444 : Position 109438, Velocity 8
Car 445 : Position 109427, Velocity 8
Car 446 : Position 109413, Velocity 7
Car 447 : Position 109399, Velocity 8
Car 448 : Position 109387, Velocity 7
Car 449 : Position 109379, Velocity 8
Car 450 : Position 109367, Velocity 8
Car 451 : Position 109349, Velocity 8
Car 452 : Position 109338, Velocity 7
Car 453 : Position 109327, Velocity 8
Car 454 : Position 109317, Velocity 8
Car 455 : Position 109304, Velocity 7
Car 456 : Position 109293, Velocity 8
Car 457 : Position 109279, Velocity 8
Car 458 : Position 109261, Velocity 7
Car 459 : Position 109252, Velocity 8
Car 460 : Position 109238, Velocity 7
Car 461 : Position 109225, Velocity 8
Car 462 : Position 109214, Velocity 8
Car 463 : Position 109199, Velocity 8
Car 464 : Position 109182, Velocity 8
Car 465 : Position 109173, Velocity 7
Car 466 : Position 109156, Velocity 8
Car 467 : Position 109146, Velocity 8
Car 468 : Position 109137, Velocity 7
Car 469 : Position 109125, Velocity 8
Car 470 : Position 109110, Velocity 8
Car 471 : Position 109099, Velocity 8
Car 472 : Position 109081, Velocity 8
Car 473 : Position 109069, Velocity 8
Car 474 : Position 109048, Velocity 8
Car 475 : Position 109037, Velocity 8
Car 476 : Position 109028, Velocity 8
Car 477 : Position 109019, Velocity 8
Car 478 : Position 109007, Velocity 7
Car 479 : Position 108999, Velocity 8
Car 480 : Position 108970, Velocity 8
Car 481 : Position 108961, Velocity 8
Car 482 : Position 108951, Velocity 8
Car 483 : Position 108938, Velocity 8
Car 484 : Position 108929, Velocity 8
Car 485 : Position 108913, Velocity 8
Car 486 : Position 108898, Velocity 7
Car 487 : Position 108884, Velocity 8
Car 488 : Position 108872, Velocity 8
Car 489 : Position 108861, Velocity 8
Car 490 : Position 108846, Velocity 8
Car 491 : Position 108836, Velocity 8
Car 492 : Position 108825, Velocity 8
Car 493 : Position 108814, Velocity 7
Car 494 : Position 108804, Velocity 7
Car 495 : Position 108793, Velocity 8
Car 496 : Position 108780, Velocity 8
Car 497 : Position 108770, Velocity 8
Car 498 : Position 108761, Velocity 7
Car 499 : Position 108747, Velocity 8
Car 500 : Position 108734, Velocity 8
Car 501 : Position 108724, Velocity 8
Car 502 : Position 108705, Velocity 8
Car 503 : Position 108690, Velocity 8
Car 504 : Position 108676, Velocity 8
Car 505 : Position 108660, Velocity 8
Car 506 : Position 108651, Velocity 8
Car 507 : Position 108632, Velocity 8
Car 508 : Position 108621, Velocity 8
Car 509 : Position 108607, Velocity 8
Car 510 : Position 108586, Velocity 7
Car 511 : Position 108577, Velocity 8
Car 512 : Position 108556, Velocity 8
Car 513 : Position 108545, Velocity 8
Car 514 : Position 108521, Velocity 8
Car 515 : Position 108510, Velocity 7
Car 516 : Position 108494, Velocity 7
Car 517 : Position 108484, Velocity 8
Car 518 : Position 108475, Velocity 8
Car 519 : Position 108465, Velocity 8
Car 520 : Position 108454, Velocity 8
Car 521 : Position 108436, Velocity 8
Car 522 : Position 108425, Velocity 8
Car 523 : Position 108413, Velocity 8
Car 524 : Position 108396, Velocity 8
Car 525 : Position 108387, Velocity 8
Car 526 : Position 108377, Velocity 8
Car 527 : Position 108368, Velocity 8
Car 528 : Position 108352, Velocity 8
Car 529 : Position 108330, Velocity 8
Car 530 : Position 108293, Velocity 8
Car 531 : Position 108281, Velocity 8
Car 532 : Position 108246, Velocity 8
